iter	Passed	Remaining
0	125	125560
1	126	63077
2	127	42210
3	127	31807
4	128	25553
5	129	21377
6	130	18480
7	130	16238
8	132	14544
9	132	13165
10	133	12035
11	134	11079
12	135	10288
13	136	9617
14	137	9014
15	138	8502
16	139	8061
17	140	7647
18	140	7278
19	142	6963
20	143	6671
21	144	6406
22	144	6149
23	145	5915
24	146	5708
25	147	5516
26	148	5335
27	149	5178
28	149	5020
29	150	4871
30	151	4728
31	151	4592
32	152	4464
33	153	4351
34	154	4259
35	155	4154
36	155	4055
37	156	3959
38	156	3868
39	157	3782
40	158	3700
41	158	3624
42	159	3551
43	160	3480
44	160	3411
45	161	3343
46	161	3283
47	162	3226
48	163	3169
49	163	3115
50	164	3063
51	165	3011
52	165	2963
53	166	2917
54	167	2874
55	167	2831
56	168	2790
57	169	2750
58	170	2712
59	170	2673
60	171	2634
61	171	2598
62	172	2563
63	172	2527
64	173	2495
65	174	2463
66	174	2433
67	175	2400
68	175	2370
69	176	2341
70	176	2313
71	177	2286
72	177	2259
73	178	2233
74	179	2210
75	180	2189
76	180	2165
77	181	2142
78	181	2120
79	182	2098
80	183	2077
81	183	2057
82	184	2037
83	185	2019
84	185	1998
85	186	1979
86	186	1958
87	187	1939
88	187	1922
89	188	1907
90	189	1890
91	189	1875
92	190	1859
93	191	1843
94	191	1827
95	192	1812
96	193	1797
97	193	1781
98	194	1767
99	194	1754
100	195	1742
101	196	1728
102	197	1718
103	198	1706
104	198	1693
105	199	1679
106	199	1666
107	200	1655
108	201	1644
109	202	1638
110	203	1627
111	203	1616
112	204	1606
113	205	1595
114	205	1585
115	206	1574
116	207	1564
117	207	1554
118	208	1542
119	208	1532
120	209	1521
121	210	1512
122	210	1500
123	211	1491
124	211	1483
125	212	1474
126	213	1466
127	213	1456
128	214	1447
129	214	1438
130	215	1430
131	216	1422
132	217	1418
133	218	1410
134	218	1402
135	219	1394
136	220	1387
137	220	1379
138	221	1372
139	222	1364
140	222	1357
141	223	1350
142	224	1343
143	224	1336
144	225	1328
145	225	1321
146	226	1314
147	227	1307
148	227	1301
149	228	1295
150	229	1289
151	229	1282
152	230	1275
153	231	1269
154	231	1262
155	232	1256
156	232	1250
157	233	1244
158	234	1238
159	234	1232
160	235	1226
161	236	1221
162	236	1214
163	237	1209
164	237	1203
165	238	1197
166	238	1191
167	239	1186
168	240	1181
169	240	1176
